"Código de departamentos","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Niños de 0 a 3 años que asisten a jardín maternal","Obra social o prepaga (incluye PAMI)","Programas o planes estatales de salud","Solo salud pública","Personas que reciben jubilación (65 años y más)","Personas que reciben pensión (65 años y más)","Personas que reciben jubilación o pensión (65 años y más)","Personas que cobran pensión no contributiva","Población de 65 años y más","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa o más","Población de 18 y más con secundaria completa o más","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo sin universitario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamento","Nombre de departamento","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2"
"02077",201905,35677,5674,3634,14922,11447,166228,28997,73730,35080,28421,108217,17478,2763,1757,7328,5630,90739,14625,38972,19542,17600,93688,18199,2911,1877,7594,5817,75489,14372,34758,15538,10821,3476,177217,3546,21142,35309,8979,36013,2430,39298,6410,159818,133097,26721,75276,19534,38287,3538,14660,10973,11242,1619,4141,10209,11934,28122,"02","Ciudad Autónoma de Buenos Aires","02077","Comuna 11",201905,87910,-34.606248,-58.496502,13.914262399835
"02084",235364,41264,7252,4690,17210,12112,194100,32842,93137,37448,30673,126101,20249,3575,2297,8377,6000,105852,16909,49056,20773,19114,109263,21015,3677,2393,8833,6112,88248,15933,44081,16675,11559,4601,211770,3280,20314,38097,9820,38814,2388,42372,6394,187706,160463,27243,83350,22987,54126,4571,16930,11615,11873,1580,4060,10593,12340,29842,"02","Ciudad Autónoma de Buenos Aires","02084","Comuna 12",235364,108085,-34.566494,-58.490215,15.259575203448
"02091",262330,43065,7459,4598,17774,13234,219265,39449,97218,42870,39728,143839,21372,3758,2296,8803,6515,122467,20610,52294,24347,25216,118491,21693,3701,2302,8971,6719,96798,18839,44924,18523,14512,4681,243510,2845,15975,46691,11339,47705,2260,53085,6042,213223,194107,19116,85419,23806,84882,4497,17480,12648,12949,1228,3031,11194,12571,35595,"02","Ciudad Autónoma de Buenos Aires","02091","Comuna 13",262330,127241,-34.554407,-58.453997,14.769346427783
"02098",247252,35791,7048,3867,14539,10337,211461,46135,91422,38615,35289,136640,17883,3545,1885,7300,5153,118757,25472,48662,22272,22351,110612,17908,3503,1982,7239,5184,92704,20663,42760,16343,12938,4200,226025,2878,18349,40973,9382,41860,2138,47219,5668,205793,188612,17181,83478,19862,85272,3764,14236,9735,9972,1147,2957,8706,9969,37216,"02","Ciudad Autónoma de Buenos Aires","02098","Comuna 14",247252,127733,-34.573742,-58.422296,15.947693481763
"02105",195265,33610,5726,3662,14068,10154,161655,30977,76679,31016,22983,104706,16441,2768,1800,6883,4990,88265,15793,40280,17533,14659,90559,17169,2958,1862,7185,5164,73390,15184,36399,13483,8324,3547,164727,3892,26646,28493,7170,29032,2753,32376,6087,155568,129398,26170,71046,17680,40672,3583,13859,9706,9953,1778,4634,9295,11263,27254,"02","Ciudad Autónoma de Buenos Aires","02105","Comuna 15",195265,90717,-34.591871,-58.46281,14.3228001532
"06028",583209,160340,26521,17241,67913,48665,422869,109916,195716,75610,41627,301570,78833,13005,8395,33398,24035,222737,55295,101083,40807,25552,281639,81507,13516,8846,34515,24630,200132,54621,94633,34803,16075,7878,340102,14548,228559,54520,13391,56184,22138,63614,41838,381031,219169,161862,171757,26012,21400,16296,66447,45204,47970,11934,40276,45515,65312,112387,"06","Buenos Aires","06028","Almirante Brown",583209,187107,-34.835653,-58.367512,129.11520887455
"06035",366117,86699,13747,9037,37082,26833,279418,63468,125770,53563,36617,193116,42999,6887,4443,18290,13379,150117,32188,65461,29393,23075,173001,43700,6860,4594,18792,13454,129301,31280,60309,24170,13542,6581,254751,8592,102774,46280,12946,47501,11299,52697,19942,259476,166916,92560,122245,22040,22631,8775,36379,25174,26425,7237,21091,26230,36058,64093,"06","Buenos Aires","06035","Avellaneda",366117,134851,-34.677578,-58.341118,56.997543974084
"06091",358328,96929,15633,10173,41462,29661,261399,66078,122786,46125,26410,185198,47673,7723,5075,20303,14572,137525,33270,63705,24684,15866,173130,49256,7910,5098,21159,15089,123874,32808,59081,21441,10544,5292,220299,8839,129190,34426,8700,35440,12019,39565,23094,238305,145685,92620,112007,17254,16424,9897,40693,27994,29219,7040,21231,28188,37952,68611,"06","Buenos Aires","06091","Berazategui",358328,116419,-34.818031,-58.155259,220.23288653805
"06260",337880,97303,17094,10576,41112,28521,240577,64986,115367,39900,20324,174144,48170,8512,5215,20321,14122,125974,32923,59759,21139,12153,163736,49133,8582,5361,20791,14399,114603,32063,55608,18761,8171,4228,188493,9313,140074,26253,5809,26973,13759,31605,25690,214887,124679,90208,98193,13255,13231,9645,40056,26293,28091,7180,24881,26586,38995,66141,"06","Buenos Aires","06260","Esteban Echeverría",337880,108363,-34.831185,-58.476961,121.57766325151
"06270",198620,60372,10444,6711,25615,17602,138248,39209,68906,20824,9309,101711,29862,5164,3308,12655,8735,71849,19952,35477,10921,5499,96909,30510,5280,3403,12960,8867,66399,19257,33429,9903,3810,2833,110475,6474,81671,12137,2534,12514,8600,14871,14273,123975,71352,52623,57342,7636,6374,6322,24950,16189,17343,4658,15078,16685,24063,40347,"06","Buenos Aires","06270","Ezeiza",198620,62802,-34.875707,-58.564844,237.36248917171
